Year,Company,Stage_Level_CO2e_Available,Country,Industry,Product_Weight,PCF_Protocol,PCF
2014,Kellogg Company,Yes,USA,Food Products,0.7485,Not reported,2.0
2015,Kellogg Company,Yes,USA,Not used for 2015 reporting,0.7485,Not reported,2.0
2013,KNOLL INC,Yes,USA,Building Products,20.68,Not reported,72.54
2017,"Konica Minolta, Inc.",Yes,Japan,"Electronic Equipment, Instruments & Components",110.0,ISO,1488.0
2017,"Konica Minolta, Inc.",Yes,Japan,"Electronic Equipment, Instruments & Components",110.0,ISO,1818.0
2017,"Konica Minolta, Inc.",Yes,Japan,"Electronic Equipment, Instruments & Components",110.0,ISO,2274.0
2016,"Kuraray Co., Ltd.",No,Japan,Chemicals,1500.0,Not reported,10000.0
2013,Lafarge S.A.,No,France,Construction Materials,1000.0,Not reported,1102.0
2014,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.7665,Not reported,15.0
2015,Levi Strauss & Co.,No,USA,Not used for 2015 reporting,0.7665,Not reported,15.0
2016,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.7665,Not reported,15.0
2014,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.997,Not reported,15.0
2015,Levi Strauss & Co.,No,USA,Not used for 2015 reporting,0.997,Not reported,16.0
2014,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.997,PAS2050,16.0
2015,Levi Strauss & Co.,No,USA,Not used for 2015 reporting,0.997,PAS2050,16.0
2016,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.997,PAS2050,16.0
2014,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.68,PAS2050,8.6
2015,Levi Strauss & Co.,No,USA,Not used for 2015 reporting,0.68,Not reported,8.6
2016,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.88,Not reported,8.6
2014,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.68,Not reported,7.7
2015,Levi Strauss & Co.,No,USA,Not used for 2015 reporting,0.68,Not reported,7.7
2016,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.88,Not reported,7.7
2014,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.997,Not reported,15.0
2015,Levi Strauss & Co.,No,USA,Not used for 2015 reporting,0.997,Not reported,15.0
2014,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.997,Not reported,16.0
2015,Levi Strauss & Co.,No,USA,Not used for 2015 reporting,0.997,Not reported,16.0
2014,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.68,Not reported,16.0
2015,Levi Strauss & Co.,No,USA,Not used for 2015 reporting,0.68,Not reported,16.0
2014,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.7665,Not reported,16.0
2015,Levi Strauss & Co.,No,USA,Not used for 2015 reporting,0.7665,Not reported,16.0
2014,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.7665,Not reported,16.0
2015,Levi Strauss & Co.,No,USA,Not used for 2015 reporting,0.7665,Not reported,16.0
2014,Levi Strauss & Co.,No,USA,"Textiles, Apparel & Luxury Goods",0.7665,Not reported,15.0
2015,Levi Strauss & Co.,No,USA,Not used for 2015 reporting,0.7665,Not reported,16.0
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,16.03449,ISO,1616.172
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,15.898413,ISO,1523.19
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,31.365912,ISO,2358.38
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,16.03449,ISO,1524.56
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,16.66952,ISO,1617.69
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,18.37049,ISO,1978.08
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,17.576704,ISO,1957.73
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,27.4877,ISO,2106.94
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,27.44234,ISO,2005.36
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,27.44234,ISO,2387.57
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,27.75985,ISO,2744.39
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,27.44234,ISO,2747.47
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,22.45282,ISO,1140.41
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,31.365912,ISO,3236.35
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,23.019813,ISO,1498.6
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,25.4012,ISO,1678.97
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,28.03201,ISO,2132.34
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,57.1526,ISO,2923.11
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,57.1526,ISO,3127.248
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,118.07009,ISO,2536.12
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,118.07009,ISO,2973.37
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,118.07009,Not reported,3335.99
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,32.6587,ISO,3128.864
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,20.32094,ISO,1968.62
2014,"Lexmark International, Inc.",No,USA,Computers & Peripherals,20.50238,ISO,3143.478
